1,"Argentina",44271000,"2780400",11942.9,69
2,"Australia",24451000,"7692060",42108.8,85
3,"Austria",8736000,"83871",36176.5,84
4,"Bangladesh",164670000,"147570",990.5,14
5,"Belarus",9468000,"207600",4715.7,62
6,"Belgium",11429000,"30528",33027.8,85
7,"Brazil",209288000,"8515767",6993.2,59
8,"Bulgaria",7085000,"111002",5614.4,57
9,"Cambodia",16005000,"181035",950.1,19
10,"Canada",36624000,"9984670",35428.6,88
11,"Chile",18055000,"756102",11001.3,64
12,"China",1409517000,"9600000",6649.5,50
13,"Colombia",49066000,"1141748",4966.0,56
14,"Croatia",4189000,"56594",9413.1,70
15,"Cyprus",1180000,"9251",17992.4,72
16,"Czech Republic",10618000,"78868",14400.6,81
17,"Denmark",5734000,"42921",43582.4,96
18,"Egypt",97553000,"1002000",2830.9,36
19,"Finland",5523000,"338440",34561.4,93
20,"France",64980000,"551500",29769.4,85
21,"Georgia",3912000,"69700",2862.9,45
22,"Germany",82114000,"357376",34182.7,88
23,"Ghana",28834000,"238537",1111.6,24
24,"Greece",11160000,"131957",14586.2,67
25,"Guatemala",16914000,"108889",3200.9,27
26,"Hong Kong",7365000,"1106",34793.4,85
27,"Hungary",9722000,"93024",10127.5,73
28,"Iceland",335000,"103000",41767.5,98
29,"India",1339180000,"3287263",1323.6,26
30,"Indonesia",263991000,"1910931",2744.1,22
31,"Iran",81163000,"1628750",4131.2,44
32,"Ireland",4762000,"69797",49621.2,80
33,"Israel",8322000,"22072",30446.1,79
34,"Italy",59360000,"302073",24979.2,66
35,"Jamaica",2890000,"10990",4186.8,43
36,"Japan",127484000,"377930",28395.5,93
37,"Jordan",9702000,"89318",4050.9,53
38,"Kenya",49700000,"591958",1128.9,46
39,"Kuwait",4136000,"17818",24029.2,82
40,"Lebanon",6082000,"10452",7028.5,74
41,"Malaysia",31624000,"330323",8010.1,71
42,"Mauritius",1265000,"1969",7413.5,50
43,"Mexico",129163000,"1964375",7364.3,57
44,"Namibia",2534000,"824116",3832.4,22
45,"Netherlands",17036000,"41542",36352.3,93
46,"New Zealand",4706000,"268107",31401.3,88
47,"Nigeria",190886000,"923768",2225.9,47
48,"Norway",5305000,"386194",60832.1,97
49,"Pakistan",197016000,"796095",1156.5,18
50,"Paraguay",6811000,"406752",3423.0,44
51,"Peru",32166000,"1285216",4976.7,41
52,"Philippines",104918000,"300000",2381.4,41
53,"Poland",38171000,"312679",10131.5,68
54,"Portugal",10330000,"92226",15776.1,69
55,"Puerto Rico",3663000,"8868",22910.0,80
56,"Romania",19679000,"238391",7479.0,56
57,"Russia",143990000,"17098246",7579.5,73
58,"Saudi Arabia",32938000,"2206714",16982.7,70
59,"Senegal",15851000,"196712",738.9,22
60,"Serbia",8791000,"88499",4295.7,65
61,"Singapore",5709000,"719",42836.0,82
62,"Slovenia",2080000,"20273",16965.6,73
63,"Somalia",14742000,"637657",118.5,2
64,"South Africa",56717000,"1221037",4733.9,52
65,"South Korea",50982000,"100284",22465.3,90
66,"Spain",46354000,"505944",21209.6,79
67,"Sweden",9911000,"438574",41563.8,91
68,"Switzerland",8476000,"41291",66281.5,88
69,"Thailand",69038000,"513120",4768.1,39
70,"Turkey",80745000,"783562",7483.2,54
71,"Ukraine",44223000,"603500",1657.7,49
72,"United Arab Emirates",9400000,"83600",33159.8,91
73,"United Kingdom",66182000,"242495",36213.2,92
74,"United States",324460000,"9833517",45964.1,75
75,"Uruguay",3457000,"173626",12770.5,65
76,"Venezuela",31977000,"912050",9076.5,62
77,"Vietnam",95541000,"330967",1695.7,53
78,"Zimbabwe",16530000,"390757",730.1,16
